IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.170.232,80,80,false,SIN,Asia Pacific,Singapore,46,9.62
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,68,9.62
8.210.119.11,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,9.62
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,51,9.62
8.219.228.186,2095,2095,false,SIN,Asia Pacific,Singapore,4,9.61
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,8,9.61
8.219.145.245,8880,8880,false,SIN,Asia Pacific,Singapore,14,9.61
8.219.235.164,2087,2087,true,SIN,Asia Pacific,Singapore,84,9.60
47.236.116.182,2096,2096,true,SIN,Asia Pacific,Singapore,190,9.60
8.219.202.130,2086,2086,false,SIN,Asia Pacific,Singapore,9,9.60
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,23,9.60
8.218.207.169,2053,2053,true,HKG,Asia Pacific,Hong Kong,145,9.59
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,69,9.59
8.219.97.179,8443,8443,true,SIN,Asia Pacific,Singapore,141,9.59
8.222.210.182,2083,2083,true,SIN,Asia Pacific,Singapore,26,9.58
8.222.184.198,2087,2087,true,SIN,Asia Pacific,Singapore,12,9.58
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,29,9.58
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,21,9.58
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,3,9.58
8.219.140.229,2096,2096,true,SIN,Asia Pacific,Singapore,134,9.57
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,105,9.57
8.219.40.255,2096,2096,true,SIN,Asia Pacific,Singapore,112,9.57
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,81,9.57
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,43,9.57
8.219.100.155,443,443,true,SIN,Asia Pacific,Singapore,130,9.56
8.219.220.88,2095,2095,false,SIN,Asia Pacific,Singapore,12,9.56
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,9.56
8.219.124.227,2087,2087,true,SIN,Asia Pacific,Singapore,84,9.55
8.219.196.24,2082,2082,false,SIN,Asia Pacific,Singapore,17,9.55
8.219.51.211,2083,2083,true,SIN,Asia Pacific,Singapore,64,9.55
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,28,9.54
47.254.66.75,443,443,true,SJC,North America,San Jose,177,9.54
8.219.141.174,8443,8443,true,SIN,Asia Pacific,Singapore,127,9.54
8.219.72.51,2096,2096,true,SIN,Asia Pacific,Singapore,100,9.54
8.218.149.193,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,9.53
47.76.80.72,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,9.53
8.219.209.14,2095,2095,false,SIN,Asia Pacific,Singapore,4,9.52
8.219.235.164,80,80,false,SIN,Asia Pacific,Singapore,11,9.52
8.222.255.15,8880,8880,false,SIN,Asia Pacific,Singapore,11,9.52
8.219.72.51,2087,2087,true,SIN,Asia Pacific,Singapore,27,9.52
8.219.61.52,2083,2083,true,SIN,Asia Pacific,Singapore,160,9.51
8.219.1.92,2095,2095,false,SIN,Asia Pacific,Singapore,44,9.51
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,21,9.51
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,111,9.50
8.219.174.213,8443,8443,true,SIN,Asia Pacific,Singapore,116,9.50
8.219.151.193,80,80,false,SIN,Asia Pacific,Singapore,27,9.50
8.219.152.195,2083,2083,true,SIN,Asia Pacific,Singapore,114,9.49
8.219.191.40,80,80,false,SIN,Asia Pacific,Singapore,15,9.49
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,59,9.49
8.218.181.189,2053,2053,true,HKG,Asia Pacific,Hong Kong,127,9.49
8.219.107.135,2053,2053,true,SIN,Asia Pacific,Singapore,63,9.49
47.236.174.206,8080,8080,false,SIN,Asia Pacific,Singapore,15,9.48
8.219.111.175,8880,8880,false,SIN,Asia Pacific,Singapore,6,9.48
47.236.158.158,8443,8443,true,SIN,Asia Pacific,Singapore,129,9.47
8.219.228.193,8443,8443,true,SIN,Asia Pacific,Singapore,99,9.47
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,10,9.47
8.218.143.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,97,9.46
8.218.110.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,9.46
8.219.145.245,2083,2083,true,SIN,Asia Pacific,Singapore,96,9.46
8.210.250.120,8443,8443,true,HKG,Asia Pacific,Hong Kong,49,9.46
8.219.163.195,2083,2083,true,SIN,Asia Pacific,Singapore,93,9.46
8.219.213.112,2082,2082,false,SIN,Asia Pacific,Singapore,17,9.46
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,17,9.46
47.238.6.102,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,9.45
8.219.77.222,8080,8080,false,SIN,Asia Pacific,Singapore,14,9.45
8.219.1.92,2096,2096,true,SIN,Asia Pacific,Singapore,71,9.45
8.219.163.195,80,80,false,SIN,Asia Pacific,Singapore,34,9.44
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,9.44
